type,by,post_id,post_link,post_message,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb
status,post_user_106839068915,106839068915_10155277559978916,https://www.facebook.com/106839068915/posts/10155277559978916,As�  es cada enfermedad y cada paciente es un mundo. Esc�chale  enpatiza con el y aprender�s mas que en muchos a�os de carrera.,,,,,2016-09-26T21:09:53+0000,1474924193,26/09/2016 23:09,8,0,8,4,12
link,post_user_106839068915,106839068915_10155255247238916,https://www.facebook.com/106839068915/posts/10155255247238916,,https://external.xx.fbcdn.net/safe_image.php?d=AQB5yxEORrOgLgfu&w=130&h=130&url=http%3A%2F%2Fwww.elperiodic.com%2Farchivos%2Fimg%2Fnoticias%2F16-09%2F12%2Fument.jpg&cfs=1&sx=79&sy=0&sw=200&sh=200,https://external.xx.fbcdn.net/safe_image.php?d=AQANDHVdsFbHbhXm&url=http%3A%2F%2Fwww.elperiodic.com%2Farchivos%2Fimg%2Fnoticias%2F16-09%2F12%2Fument.jpg,http://goo.gl/gAh7aE,goo.gl,2016-09-20T20:23:12+0000,1474402992,20/09/2016 22:23,3,0,3,1,4
link,post_user_106839068915,106839068915_10155159587993916,https://www.facebook.com/106839068915/posts/10155159587993916,,https://external.xx.fbcdn.net/safe_image.php?d=AQAgb4THR9bAL0Ty&w=130&h=130&url=http%3A%2F%2Fi2.wp.com%2Fdiabetika.net%2Fwp-content%2Fuploads%2F2016%2F02%2Ftresiba_lineafabricacion.png%3Ffit%3D1280%252C720&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQCc3fS8pfLhYAvx&url=http%3A%2F%2Fi2.wp.com%2Fdiabetika.net%2Fwp-content%2Fuploads%2F2016%2F02%2Ftresiba_lineafabricacion.png%3Ffit%3D1280%252C720,http://diabetika.net/aprobada-en-espana-la-insulina-sin-hipoglucemias/,diabetika.net,2016-08-26T14:04:01+0000,1472220241,26/08/2016 16:04,5,1,5,1,7
link,post_user_106839068915,106839068915_10155238104873916,https://www.facebook.com/106839068915/posts/10155238104873916,Julia Del Campo Garcia shared EURORDIS - European Rare Diseases Organisation s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQCCP8F2L4IceclL&w=130&h=130&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDExMDE1NDM3NDM0ODQ5MjcwNzoxOTMwMTYzODUx&cfs=1&sx=542&sy=0&sw=1365&sh=1365,https://external.xx.fbcdn.net/safe_image.php?d=AQA4gYTL3E6ZDp7F&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDExMDE1NDM3NDM0ODQ5MjcwNzoxOTMwMTYzODUx,http://www.eurordis.org/content/eurordis-awards-nominations,eurordis.org,2016-09-16T12:54:38+0000,1474030478,16/09/2016 14:54,0,0,0,2,2
link,post_user_106839068915,106839068915_10155159585393916,https://www.facebook.com/106839068915/posts/10155159585393916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQAcvKFfWRW8m75O&w=130&h=130&url=http%3A%2F%2Fwww.fundacionmercksalud.com%2Fsystem%2Fattachments%2F4551%2Foriginal%2FImg_bases_2017.jpg%3F2016-07-22%2B14%253A38%253A31%2B%2B0200&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQAkEa0Wv6t0VE9p&url=http%3A%2F%2Fwww.fundacionmercksalud.com%2Fsystem%2Fattachments%2F4551%2Foriginal%2FImg_bases_2017.jpg%3F2016-07-22%2B14%253A38%253A31%2B%2B0200,http://www.fundacionmercksalud.com/ayudas_merck_investigacion/nuevo,fundacionmercksalud.com,2016-08-26T14:03:17+0000,1472220197,26/08/2016 16:03,2,0,2,1,3
photo,post_user_106839068915,106839068915_10155159580918916,https://www.facebook.com/106839068915/posts/10155159580918916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s photo to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14064072_1361844047177297_2078480666104034130_n.jpg?oh=0aed6b3f14eb5b77585321f210394e5e&oe=58C28282,https://scontent.xx.fbcdn.net/v/t1.0-9/14064072_1361844047177297_2078480666104034130_n.jpg?oh=e9357b22784a29a2455ec443ae43d6cc&oe=58CB96E9,https://www.facebook.com/132777653417282/photos/a.169103943117986.44298.132777653417282/1361844047177297/?type=3,facebook.com,2016-08-26T14:02:29+0000,1472220149,26/08/2016 16:02,1,0,1,0,1
status,post_user_106839068915,106839068915_10155086552763916,https://www.facebook.com/106839068915/posts/10155086552763916,https://www.facebook.com/photo.php?fbid=10207368437263744&set=a.2953291145923.140573.1070743256&type=3&theater,,,,,2016-08-05T21:52:04+0000,1470433924,05/08/2016 23:52,6,2,7,0,9
photo,post_user_106839068915,106839068915_10155078755668916,https://www.facebook.com/106839068915/posts/10155078755668916,Julia Del Campo Garcia shared Rare Commons - Hospital Sant Joan de D�u Barcelona s photo to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13680727_1725609281038472_3577799836116053546_n.jpg?oh=6ba301666fad6a91042271b86bed5c79&oe=58AFD1C4,https://scontent.xx.fbcdn.net/v/t1.0-9/13680727_1725609281038472_3577799836116053546_n.jpg?oh=ca3cd609e9faa204ce4107183f789e1e&oe=58B201AF,https://www.facebook.com/SJDRareCommons/photos/a.1537508139848588.1073741828.1537098283222907/1725609281038472/?type=3,facebook.com,2016-08-03T15:09:12+0000,1470236952,03/08/2016 17:09,4,0,4,2,6
link,post_user_106839068915,106839068915_10155075062103916,https://www.facebook.com/106839068915/posts/10155075062103916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQCLOmbAre3xd04l&w=130&h=130&url=http%3A%2F%2F9www.ecestaticos.com%2Fimagestatic%2Fclipping%2F910%2F7e1%2Fff6%2F9107e1ff680f580c42a87f810c9dfe0b%2Fadn-espanol-para-combatir-las-enfermedades-raras.jpg%3Fmtime%3D1470072526&cfs=1&sx=276&sy=0&sw=900&sh=900,https://external.xx.fbcdn.net/safe_image.php?d=AQC0_tQn-4nhkmiR&url=http%3A%2F%2F9www.ecestaticos.com%2Fimagestatic%2Fclipping%2F910%2F7e1%2Fff6%2F9107e1ff680f580c42a87f810c9dfe0b%2Fadn-espanol-para-combatir-las-enfermedades-raras.jpg%3Fmtime%3D1470072526,http://www.elconfidencial.com/espana/pais-vasco/2016-08-02/adn-espanol-combatir-enfermedades-raras_1241516/,elconfidencial.com,2016-08-02T12:23:15+0000,1470140595,02/08/2016 14:23,3,0,3,0,3
link,post_user_106839068915,106839068915_10155075050673916,https://www.facebook.com/106839068915/posts/10155075050673916,Julia Del Campo Garcia shared Enfermedades Poco Frecuentes s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQDAH_88uAsHhcNh&w=130&h=130&url=http%3A%2F%2Ftelecincostatic-a.akamaihd.net%2Finformativos%2FJennifer_Garner-Milagros_del_cielo-enfermedades_raras_MDSIMA20160405_0172_9.jpg&cfs=1&sx=209&sy=0&sw=549&sh=549,https://external.xx.fbcdn.net/safe_image.php?d=AQBIwKl1jnqMXwD-&url=http%3A%2F%2Ftelecincostatic-a.akamaihd.net%2Finformativos%2FJennifer_Garner-Milagros_del_cielo-enfermedades_raras_MDSIMA20160405_0172_9.jpg,http://www.telecinco.es/blogs/lavieenrosa/Jennifer_Garner-Milagros_del_cielo-enfermedades_raras_6_2158365006.html,telecinco.es,2016-08-02T12:22:56+0000,1470140576,02/08/2016 14:22,6,0,6,1,7
link,post_user_106839068915,106839068915_10155075039783916,https://www.facebook.com/106839068915/posts/10155075039783916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQCoJEkd7t4ADviy&w=130&h=130&url=http%3A%2F%2Fwww.labmedica.es%2Fimages%2Fstories%2Farticles%2Farticle_images%2F2016-08-01%2FRLJ-226.jpg&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQBVzK23wIst0El6&url=http%3A%2F%2Fwww.labmedica.es%2Fimages%2Fstories%2Farticles%2Farticle_images%2F2016-08-01%2FRLJ-226.jpg,http://www.labmedica.es/pruebas-geneticas/articles/294765385/descubren-dos-nuevos-tipos-de-leucemia-infantil.html,labmedica.es,2016-08-02T12:22:38+0000,1470140558,02/08/2016 14:22,2,0,2,0,2
link,post_user_106839068915,106839068915_10155075036668916,https://www.facebook.com/106839068915/posts/10155075036668916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQC4V4il09Jvr9IT&w=130&h=130&url=http%3A%2F%2Fwww.sjdhospitalbarcelona.org%2Fsites%2Fdefault%2Ffiles%2Fu1%2FSala_premsa%2FNoticias%2F2016%2F2016_07_25_noticia_distonia_0.jpg&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQD8CPgPLNl928Lk&url=http%3A%2F%2Fwww.sjdhospitalbarcelona.org%2Fsites%2Fdefault%2Ffiles%2Fu1%2FSala_premsa%2FNoticias%2F2016%2F2016_07_25_noticia_distonia_0.jpg,http://www.sjdhospitalbarcelona.org/es/un-nino-vuelve-correr-gracias-una-intervencion-realizada-por-un-equipo-del-hospital-sant-joan-deu,sjdhospitalbarcelona.org,2016-08-02T12:22:19+0000,1470140539,02/08/2016 14:22,2,0,2,0,2
status,post_user_106839068915,106839068915_10155069632653916,https://www.facebook.com/106839068915/posts/10155069632653916,,,,,,2016-07-31T20:12:00+0000,1469995920,31/07/2016 22:12,1,0,1,0,1
photo,post_user_106839068915,106839068915_10154923371753916,https://www.facebook.com/106839068915/posts/10154923371753916,Os dejamos en im�genes la firma de los convenios de colaboraci�n con la Obra Social la Caixa. Gracias a ayudas como esta la Asociaci�n podr� seguir realizando todas las actividades que hasta ahora ha estado llevando a cabo con el objetivo final siempre de mejorar la calidad de vida de las personas con S�ndrome de Wolfram y la de sus familiares.,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13423924_10206807153040853_2260061120438203316_n.jpg?oh=324d357781a671efe26a3acb47eb4b3a&oe=58C027EE,https://scontent.xx.fbcdn.net/v/t1.0-9/13423924_10206807153040853_2260061120438203316_n.jpg?oh=f6c553665583ed139ec18fecf0b1d3a3&oe=58F92F08,https://www.facebook.com/photo.php?fbid=10206807153040853&set=gm.10154923371753916&type=3,facebook.com,2016-06-16T09:47:19+0000,1466070439,16/06/2016 11:47,21,4,24,8,36
status,post_user_106839068915,106839068915_10155030679013916,https://www.facebook.com/106839068915/posts/10155030679013916,,,,,,2016-07-20T12:55:21+0000,1469019321,20/07/2016 14:55,3,1,6,0,7
link,post_user_106839068915,106839068915_10155038894118916,https://www.facebook.com/106839068915/posts/10155038894118916,,https://external.xx.fbcdn.net/safe_image.php?d=AQDKmFpMQc2TF6XQ&w=130&h=130&url=http%3A%2F%2Fi0.wp.com%2Fwww.sindromewolframitalia.com%2Fwp-content%2Fuploads%2F2016%2F03%2Fcropped-loghino.png%3Ffit%3D512%252C512&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQDNrfnqONJxM1TC&url=http%3A%2F%2Fi0.wp.com%2Fwww.sindromewolframitalia.com%2Fwp-content%2Fuploads%2F2016%2F03%2Fcropped-loghino.png%3Ffit%3D512%252C512,http://www.sindromewolframitalia.com/nuovo-dispositivo-per-la-vista/,sindromewolframitalia.com,2016-07-22T20:57:45+0000,1469221065,22/07/2016 22:57,6,1,6,0,7
link,post_user_106839068915,106839068915_10155047864258916,https://www.facebook.com/106839068915/posts/10155047864258916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQAfcXEeC6KMw2n6&w=130&h=130&url=http%3A%2F%2Fwww.orpha.net%2Factor%2FOrphanews%2F2016%2Fdoc%2FHipbi1.png&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQDMsJnzMzo11VNc&url=http%3A%2F%2Fwww.orpha.net%2Factor%2FOrphanews%2F2016%2Fdoc%2FHipbi1.png,http://www.orphanet-espana.es/national/ES-ES/index/inicio/#drugs-jul16,orphanet-espana.es,2016-07-25T12:23:24+0000,1469449404,25/07/2016 14:23,2,0,2,0,2
status,post_user_106839068915,106839068915_10155037604148916,https://www.facebook.com/106839068915/posts/10155037604148916,Muchas de las enfermedades raras cursan  con ataxias y otras patolog�as Neurol�gicas  que afectan terriblemente a la calidad de vida del paciente y su entorno directo. Articulo La ataxia de Friedreich es una enfermedad hereditaria y progresiva  que afecta el habla y el movimiento y por lo general tiene su inicio en la infancia. Al cabo de 10 o 20 a�os los pacientes quedan confinados a una silla de ruedas  antes de quedar totalmente incapacitados en etapas posteriores. Las� BOLETIN.FEDAES.ORG,,,,,2016-07-22T13:52:06+0000,1469195526,22/07/2016 15:52,1,0,1,2,3
link,post_user_106839068915,106839068915_10155032117938916,https://www.facebook.com/106839068915/posts/10155032117938916,http://scielo.isciii.es/pdf/albacete/v6n1/paciente4.pdf,,,http://scielo.isciii.es/pdf/albacete/v6n1/paciente4.pdf,scielo.isciii.es,2016-07-20T22:18:35+0000,1469053115,21/07/2016 0:18,1,0,1,0,1
link,post_user_106839068915,106839068915_10155032096953916,https://www.facebook.com/106839068915/posts/10155032096953916,,https://external.xx.fbcdn.net/safe_image.php?d=AQDxqz7RKDvI92uN&w=130&h=130&url=http%3A%2F%2F3.bp.blogspot.com%2F-YlxHPzNeBxE%2FVgHUNx-47FI%2FAAAAAAAAB4E%2FQhIpK_6QwZQ%2Fw1200-h630-p-nu%2FLab.gif&cfs=1&sx=477&sy=0&sw=630&sh=630,https://external.xx.fbcdn.net/safe_image.php?d=AQCg767jXg82Ya-7&url=http%3A%2F%2F3.bp.blogspot.com%2F-YlxHPzNeBxE%2FVgHUNx-47FI%2FAAAAAAAAB4E%2FQhIpK_6QwZQ%2Fw1200-h630-p-nu%2FLab.gif,http://vonhippel-lindau.blogspot.com.es/2015/09/propranolol-reduce-la-viabilidad-e.html,vonhippel-lindau.blogspot.com.es,2016-07-20T22:07:21+0000,1469052441,21/07/2016 0:07,8,0,9,0,9
link,post_user_106839068915,106839068915_10155032082138916,https://www.facebook.com/106839068915/posts/10155032082138916,http://www.infosalus.com/salud-investigacion/noticia-avances-conocimiento-sindrome-wolfram-20160720073436.html,https://external.xx.fbcdn.net/safe_image.php?d=AQDD3ggP1VRNKj8J&w=130&h=130&url=http%3A%2F%2Fimg2.europapress.net%2Ffotoweb%2Ffotonoticia_20160720073436_800.jpg&cfs=1&sx=0&sy=0&sw=534&sh=534,https://external.xx.fbcdn.net/safe_image.php?d=AQDtsbjuol3HFQqB&url=http%3A%2F%2Fimg2.europapress.net%2Ffotoweb%2Ffotonoticia_20160720073436_800.jpg,http://www.infosalus.com/salud-investigacion/noticia-avances-conocimiento-sindrome-wolfram-20160720073436.html,infosalus.com,2016-07-20T22:02:35+0000,1469052155,21/07/2016 0:02,9,0,9,0,9
video,post_user_106839068915,106839068915_10155010349473916,https://www.facebook.com/106839068915/posts/10155010349473916,,https://external.xx.fbcdn.net/safe_image.php?d=AQAmcSss9CxfY42U&w=130&h=130&url=http%3A%2F%2Festaticos.elmundo.es%2Fassets%2Fmultimedia%2Fimagenes%2F2016%2F07%2F10%2F14681657546878.jpg&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQB_H26dueeRv6QQ&w=720&h=720&url=http%3A%2F%2Festaticos.elmundo.es%2Fassets%2Fmultimedia%2Fimagenes%2F2016%2F07%2F10%2F14681657546878.jpg&cfs=1,http://www.elmundo.es/cronica/2016/07/14/577fe03cca47418c688b45a5.html,elmundo.es,2016-07-14T08:11:44+0000,1468483904,14/07/2016 10:11,4,0,4,0,4
photo,post_user_106839068915,106839068915_10155001012403916,https://www.facebook.com/106839068915/posts/10155001012403916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s photo to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13615495_1324791767549192_4252840396561838291_n.jpg?oh=74b06d8e5222e886d1a629f400bed2de&oe=58B73F19,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13615495_1324791767549192_4252840396561838291_n.jpg?oh=c13dca395b70d1aada49c81200a88845&oe=58BEB10C,https://www.facebook.com/132777653417282/photos/a.169103943117986.44298.132777653417282/1324791767549192/?type=3,facebook.com,2016-07-11T12:03:01+0000,1468238581,11/07/2016 14:03,2,0,2,0,2
photo,post_user_106839068915,106839068915_10155001009623916,https://www.facebook.com/106839068915/posts/10155001009623916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s photo to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://scontent.xx.fbcdn.net/v/t1.0-0/q81/s130x130/13606958_1324824420879260_3495315576108998593_n.jpg?oh=edb3524a7eeb7244fe20f753b031d302&oe=58C584DD,https://scontent.xx.fbcdn.net/t31.0-8/s720x720/13603622_1324824420879260_3495315576108998593_o.jpg,https://www.facebook.com/132777653417282/photos/a.169103943117986.44298.132777653417282/1324824420879260/?type=3,facebook.com,2016-07-11T12:01:09+0000,1468238469,11/07/2016 14:01,1,0,1,0,1
link,post_user_106839068915,106839068915_10154986680988916,https://www.facebook.com/106839068915/posts/10154986680988916,http://www.somospacientes.com/noticias/asociaciones/convenios-para-la-investigacion-y-la-atencion-en-el-sindrome-de-wolfram/,https://external.xx.fbcdn.net/safe_image.php?d=AQD1MryrCmGvTY_s&w=130&h=130&url=http%3A%2F%2Fwww.somospacientes.com%2Fwp-content%2Fuploads%2F2016%2F07%2Ffirma-convenios-AEIASW-300x205.jpg&cfs=1&sx=5&sy=0&sw=205&sh=205,https://external.xx.fbcdn.net/safe_image.php?d=AQDuUuUP3jz-omWc&url=http%3A%2F%2Fwww.somospacientes.com%2Fwp-content%2Fuploads%2F2016%2F07%2Ffirma-convenios-AEIASW-300x205.jpg,http://www.somospacientes.com/noticias/asociaciones/convenios-para-la-investigacion-y-la-atencion-en-el-sindrome-de-wolfram/,somospacientes.com,2016-07-06T15:25:11+0000,1467818711,06/07/2016 17:25,7,0,7,0,7
